0	4.934802
1	0.876090
2	2.211353
3	1.976022
4	2.001829
5	1.999900
6	2.000004
7	2.000000
8	2.000000
9	2.000000
10	2.000000
11	2.000000
12	2.000000
13	2.000000
14	2.000000
15	2.000000
16	2.000000
17	2.000000
18	2.000000
19	2.000000
20	2.000000
21	2.000000
22	2.000000
23	2.000000
24	2.000000
25	2.000000
26	2.000000
27	2.000000
28	2.000000
29	2.000000
30	2.000000

0	10.335426
1	0.134769
2	3.730357
3	3.073189
4	3.146894
5	3.141298
6	3.141605
7	3.141592
8	3.141593
9	3.141593
10	3.141593
11	3.141593
12	3.141593
13	3.141593
14	3.141593
15	3.141593
16	3.141593
17	3.141593
18	3.141593
19	3.141593
20	3.141593
21	3.141593
22	3.141593
23	3.141593
24	3.141593
25	3.141593
26	3.141593
27	3.141593
28	3.141593
29	3.141593
30	3.141593

0	2157.352306
1	-66845.192448
2	629660.531922
3	-2832637.800902
4	7450456.949697
5	-12901831.260330
6	15900239.977259
7	-14717877.550478
8	10641628.753875
9	-6190625.005513
10	2965442.332666
11	-1191404.109058
12	407744.369626
13	-120262.028500
14	31013.544102
15	-6952.201320
16	1463.782351
17	-196.104281
18	97.072356
19	50.430389
20	57.149123
21	56.268660
22	56.374077
23	56.362500
24	56.363670
25	56.363561
26	56.363571
27	56.363570
28	56.363570
29	56.363570
30	56.363570

