1	1.500000	1.490000	1.480000	1.191969	44.809841	73.935990
2	1.191969	1.490000	1.480000	1.100705	27.092660	56.377418
3	1.191969	1.100705	1.480000	0.991125	11.939920	38.463371
4	1.191969	1.100705	0.991125	0.871411	11.939920	21.714835
5	0.871411	1.100705	0.991125	0.784052	5.846304	14.470626
6	0.871411	0.784052	0.991125	0.700026	2.352966	9.212460
7	0.871411	0.784052	0.700026	0.623791	2.352966	5.768745
8	0.623791	0.784052	0.700026	0.557850	1.081952	3.703486
9	0.623791	0.557850	0.700026	0.498022	0.436433	2.351510
10	0.623791	0.557850	0.498022	0.444625	0.436433	1.492641
11	0.444625	0.557850	0.498022	0.397150	0.197935	0.950813
12	0.444625	0.397150	0.498022	0.354628	0.080088	0.604349
13	0.444625	0.397150	0.354628	0.316678	0.080088	0.384265
14	0.316678	0.397150	0.354628	0.282806	0.036229	0.244434
15	0.316678	0.282806	0.354628	0.252543	0.014672	0.155427
16	0.316678	0.282806	0.252543	0.225522	0.014672	0.098842
17	0.225522	0.282806	0.252543	0.201394	0.006634	0.062860
18	0.225522	0.201394	0.252543	0.179845	0.002687	0.039974
19	0.225522	0.201394	0.179845	0.160603	0.002687	0.025421
20	0.160603	0.201394	0.179845	0.143419	0.001215	0.016167
21	0.160603	0.143419	0.179845	0.128074	0.000492	0.010281
22	0.160603	0.143419	0.128074	0.114371	0.000492	0.006538
23	0.114371	0.143419	0.128074	0.102134	0.000223	0.004158
24	0.114371	0.102134	0.128074	0.091206	0.000090	0.002644
25	0.114371	0.102134	0.091206	0.081448	0.000090	0.001682
26	0.081448	0.102134	0.091206	0.072733	0.000041	0.001069
27	0.081448	0.072733	0.091206	0.064951	0.000017	0.000680
28	0.081448	0.072733	0.064951	0.058002	0.000017	0.000432
29	0.058002	0.072733	0.064951	0.051796	0.000007	0.000275
30	0.058002	0.051796	0.064951	0.046254	0.000003	0.000175
31	0.058002	0.051796	0.046254	0.041305	0.000003	0.000111
32	0.041305	0.051796	0.046254	0.036886	0.000001	0.000071
33	0.041305	0.036886	0.046254	0.032939	0.000001	0.000045
34	0.041305	0.036886	0.032939	0.029415	0.000001	0.000029
35	0.029415	0.036886	0.032939	0.026268	0.000000	0.000018
36	0.029415	0.026268	0.032939	0.023457	0.000000	0.000012
37	0.029415	0.026268	0.023457	0.020947	0.000000	0.000007
38	0.020947	0.026268	0.023457	0.018706	0.000000	0.000005
39	0.020947	0.018706	0.023457	0.016705	0.000000	0.000003
40	0.020947	0.018706	0.016705	0.014917	0.000000	0.000002
41	0.014917	0.018706	0.016705	0.013321	0.000000	0.000001
42	0.014917	0.013321	0.016705	0.011896	0.000000	0.000001
43	0.014917	0.013321	0.011896	0.010623	0.000000	0.000000
44	0.010623	0.013321	0.011896	0.009487	0.000000	0.000000
45	0.010623	0.009487	0.011896	0.008472	0.000000	0.000000
46	0.010623	0.009487	0.008472	0.007565	0.000000	0.000000
47	0.007565	0.009487	0.008472	0.006756	0.000000	0.000000
48	0.007565	0.006756	0.008472	0.006033	0.000000	0.000000
49	0.007565	0.006756	0.006033	0.005387	0.000000	0.000000
50	0.005387	0.006756	0.006033	0.004811	0.000000	0.000000
51	0.005387	0.004811	0.006033	0.004296	0.000000	0.000000
52	0.005387	0.004811	0.004296	0.003837	0.000000	0.000000
53	0.003837	0.004811	0.004296	0.003426	0.000000	0.000000
54	0.003837	0.003426	0.004296	0.003059	0.000000	0.000000
55	0.003837	0.003426	0.003059	0.002732	0.000000	0.000000
56	0.002732	0.003426	0.003059	0.002440	0.000000	0.000000
57	0.002732	0.002440	0.003059	0.002179	0.000000	0.000000
58	0.002732	0.002440	0.002179	0.001946	0.000000	0.000000
59	0.001946	0.002440	0.002179	0.001737	0.000000	0.000000
60	0.001946	0.001737	0.002179	0.001552	0.000000	0.000000
61	0.001946	0.001737	0.001552	0.001386	0.000000	0.000000
62	0.001386	0.001737	0.001552	0.001237	0.000000	0.000000
63	0.001386	0.001237	0.001552	0.001105	0.000000	0.000000
64	0.001386	0.001237	0.001105	0.000987	0.000000	0.000000
65	0.000987	0.001237	0.001105	0.000881	0.000000	0.000000
66	0.000987	0.000881	0.001105	0.000787	0.000000	0.000000
67	0.000987	0.000881	0.000787	0.000703	0.000000	0.000000
68	0.000703	0.000881	0.000787	0.000627	0.000000	0.000000
69	0.000703	0.000627	0.000787	0.000560	0.000000	0.000000
70	0.000703	0.000627	0.000560	0.000500	0.000000	0.000000
71	0.000500	0.000627	0.000560	0.000447	0.000000	0.000000
72	0.000500	0.000447	0.000560	0.000399	0.000000	0.000000
73	0.000500	0.000447	0.000399	0.000356	0.000000	0.000000
74	0.000356	0.000447	0.000399	0.000318	0.000000	0.000000
75	0.000356	0.000318	0.000399	0.000284	0.000000	0.000000
76	0.000356	0.000318	0.000284	0.000254	0.000000	0.000000
77	0.000254	0.000318	0.000284	0.000227	0.000000	0.000000
78	0.000254	0.000227	0.000284	0.000202	0.000000	0.000000
79	0.000254	0.000227	0.000202	0.000181	0.000000	0.000000
80	0.000181	0.000227	0.000202	0.000161	0.000000	0.000000
81	0.000181	0.000161	0.000202	0.000144	0.000000	0.000000
82	0.000181	0.000161	0.000144	0.000129	0.000000	0.000000
83	0.000129	0.000161	0.000144	0.000115	0.000000	0.000000
84	0.000129	0.000115	0.000144	0.000103	0.000000	0.000000
85	0.000129	0.000115	0.000103	0.000092	0.000000	0.000000
86	0.000092	0.000115	0.000103	0.000082	0.000000	0.000000
87	0.000092	0.000082	0.000103	0.000073	0.000000	0.000000
